year,difference,avg
1947,-0.45,17.87
1948,0.13,18.45
1949,0.33,18.65
1950,-0.71,17.61
1951,0.01,18.33
1952,-0.39,17.93
1953,1,19.32
1954,-0.62,17.7
1955,-1.05,17.27
1956,-0.81,17.51
1957,-0.53,17.79
1958,0.01,18.33
1959,0.37,18.69
1960,-0.98,17.34
1961,-0.89,17.43
1962,-2.41,15.91
1963,-0.51,17.81
1964,-0.2,18.12
1965,0.87,19.19
1966,-0.6,17.72
1967,-2.68,15.64
1968,0.39,18.71
1969,-0.86,17.46
1970,-0.88,17.44
1971,-0.47,17.85
1972,0.67,18.99
1973,-1.51,16.81
1974,0.21,18.53
1975,-0.86,17.46
1976,-0.83,17.49
1977,-0.21,18.11
1978,0.51,18.83
1979,-0.39,17.93
1980,-0.56,17.76
1981,-0.79,17.53
1982,-0.74,17.58
1983,-1.6,16.72
1984,-0.37,17.95
1985,-1.59,16.73
1986,-0.14,18.18
1987,0.3,18.62
1988,-0.27,18.05
1989,0.39,18.71
1990,0.3,18.62
1991,-0.51,17.81
1992,0.3,18.62
1993,0.23,18.55
1994,0.11,18.43
1995,-0.64,17.68
1996,-0.47,17.85
1997,0.65,18.97
1998,0.87,19.19
1999,-0.11,18.21
2000,1.19,19.51
2001,0.27,18.59
2002,0.45,18.77
2003,-0.22,18.1
2004,0.07,18.39
2005,0.25,18.57
2006,1.17,19.49
2007,0.04,18.36
2008,0.95,19.27
2009,0.46,18.78
2010,-0.78,17.54
2011,-0.3,18.02
2012,0.8,19.12
2013,-0.44,17.88
2014,-0.25,18.07
2015,0.23,18.55
2016,1.32,19.64
2017,-0.08,18.24
2018,2.16,20.48
